"","generations","abundance"
"1",1,2500
"2",2,3212.5
"3",3,4114.3290625
"4",4,5247.06155944281
"5",5,6655.99009722415
"6",6,8386.97390134533
"7",7,10481.0180844178
"8",8,12966.2130692278
"9",9,15847.3409018565
"10",10,19094.7138904555
"11",11,22635.479466242
"12",12,26351.9337221147
"13",13,30090.9673733807
"14",14,33685.4596805997
"15",15,36982.8364214198
"16",16,39871.3062092048
"17",17,42294.3717189972
"18",18,44249.7999600681
"19",19,45776.4711690523
"20",20,46936.5006436215
"21",21,47799.2402806959
"22",22,48430.4081364344
"23",23,48886.5039837951
"24",24,49213.1135483879
"25",25,49445.4643421452
"26",26,49609.9799807266
"27",27,49726.073292816
"28",28,49807.8010899258
"29",29,49865.2391204218
"30",30,49905.5584213273
"31",31,49933.8373796584
"32",32,49953.6599008069
"33",33,49967.5490461361
"34",34,49977.2780139088
"35",35,49984.0915120043
"36",36,49988.862539923
"37",37,49992.203033688
"38",38,49994.5417588255
"39",39,49996.1790524235
"40",40,49997.3252490986
"41",41,49998.1276314433
"42",42,49998.6893209757
"43",43,49999.0825143757
"44",44,49999.3577550123
"45",45,49999.5504260337
"46",46,49999.6852970109
"47",47,49999.7797073134
"48",48,49999.8457948282
"49",49,49999.8920562371
"50",50,49999.924439296
"51",51,49999.947107473
"52",52,49999.9629752143
"53",53,49999.9740826418
"54",54,49999.9818578452
"55",55,49999.9873004897
"56",56,49999.9911103418
"57",57,49999.9937772388
"58",58,49999.9956440669
"59",59,49999.9969508467
"60",60,49999.9978655927
